Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
7 Days to Die,2016,Action,Telltale Games,0.09,0.08,0,0.03,0.21
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.07,0.05,0,0.02,0.14
Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.09,0,0.04,0.23
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
Attack on Titan 2,2018,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22
ATV Renegades,2017,Racing,Nighthawk Interactive,0.01,0,0,0,0.01
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.09,0.07,0,0.03,0.19
Battlefield 1,2016,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
Black Mirror,2017,Adventure,THQ Nordic,0.04,0,0,0.01,0.05
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
Call of Duty: Black Ops 3,2015,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
Call of Duty: WWII,2017,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.06,0.18,0.01,0.04,0.29
Costume Quest 2,2017,Role-Playing,Activision,0,0,0,0,0
Dark Souls III,2016,Role-Playing,Namco Bandai Games,1,0.63,0.44,0.34,2.42
Dead or Alive 5,2015,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35
Deadpool,2015,Action,Activision,0.26,0.13,0,0.08,0.47
Destiny 2,2017,Shooter,Activision,1.92,1.44,0.1,0.69,4.14
Diablo III,2014,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82
FIFA 18,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
Final Fantasy XV,2016,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
Grand Theft Auto V,2014,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
Guitar Hero Live,2015,Music,Activision,0.52,0.49,0,0.2,1.21
Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0,0.17,0.98
MineCraft,2014,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
Resident Evil 4,2016,Action-Adventure,Capcom,0.07,0,0.01,0.02,0.1
Tekken 7,2017,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7
XCOM 2,2016,Strategy,2K Games,0.16,0.1,0,0.05,0.31
Yooka-Laylee,2017,Platform,Sold Out,0.09,0.16,0,0.05,0.29
